trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.15, 'e': 0.3164482859022201}",20,8,-9.165829588081357,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.15, 'e': 0.31328380304319786}",20,0,28.803165496995152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.15, 'e': 0.3101509650127659}",20,6,-17.091943253617117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.15, 'e': 0.3070494553626382}",20,1,2.115218261779301,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.15, 'e': 0.3039789608090118}",20,2,5.329322493213029,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.15, 'e': 0.30093917120092173}",25,15,-8.32068036823739,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.15, 'e': 0.2979297794889125}",20,12,14.890228491826312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.15, 'e': 0.2949504816940234}",20,15,8.260289784163003,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.15, 'e': 0.29200097687708315}",20,5,18.432444575862238,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.15, 'e': 0.2890809671083123}",20,12,17.566162123917486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.15, 'e': 0.2861901574372292}",20,14,10.639413757937128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.15, 'e': 0.2833282558628569}",25,10,11.68656180477959,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.15, 'e': 0.28049497330422835}",25,11,0.2962552039043873,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.15, 'e': 0.27769002357118605}",25,16,5.142346379330475,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.15, 'e': 0.2749131233354742}",20,2,8.435078347590212,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
